_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_seq,_SVG,_source,_dup
#000000,0,0,0,black,,,1,SVG,SVG+X11,
#0F0F0F,15,15,15,Onyx,,,2,,Colorhexa,
#1C1C1C,28,28,28,gray11,,gray,1,,X11,
#36454F,54,69,79,Charcoal,,,1,,Colorhexa,
#696969,105,105,105,DimGray,dim-gray,gray,1,SVG,SVG+X11,
#808080,128,128,128,gray (SVG),,gray,1,diff,SVG diff,
#A9A9A9,169,169,169,DarkGray,dark-gray,,1,SVG,SVG+X11,
#D3D3D3,211,211,211,LightGray,light-gray,gray,1,SVG,SVG+X11,
#FFFFFF,255,255,255,white,,,1,SVG,SVG+X11,
#EAE0C8,234,224,200,Pearl,,,1,,Colorhexa,
#F5F5DC,245,245,220,beige,,,1,SVG,SVG+X11,
#FADADD,250,218,221,Pale pink,,,1,,Colorhexa,
#FFC0CB,255,192,203,pink,,,1,SVG,SVG+X11,
#FF0000,255,0,0,red,,,1,SVG,SVG+X11,
#FFA500,255,165,0,orange,,,1,SVG,SVG+X11,
#FFFF00,255,255,0,yellow,,,1,SVG,SVG+X11,
#008000,0,128,0,green (SVG),,,1,diff,SVG diff,
#0000FF,0,0,255,blue,,,1,SVG,SVG+X11,
#800080,128,0,128,purple (SVG),,,1,diff,SVG diff,
#A52A2A,165,42,42,brown,,,1,SVG,SVG+X11,
